post_id,source,source_type,source_name,text,timestamp,engagement_metric,lang,backlash_flag
90f93181-fb55-4f4d-803d-8734c40e7a5b,whatsapp,primary_dataset,whatsapp,"WhATSAPP DOESN'T INVOLVE IF IT DIDN'T OPEN HIS PROGRAM, I KIRA PAKET MY DATA YG HABIS",2021-07-30T21:25:31Z,0,en,1
1a670ae7-c2f7-42ba-9f26-4ca33d4f6013,whatsapp,primary_dataset,whatsapp,Assalamu'alaikum wr wb.,2021-07-30T18:00:33Z,0,en,1
5e345ba8-0b25-4e0e-b331-1291a87ff20b,whatsapp,primary_dataset,whatsapp,"Why can't you see the photos, vidio,sticker, same voice mail changed numbers? Same number. You can't see everything.",2021-07-30T06:54:10Z,5,en,1
cd915737-1ffc-4c34-a6bb-9a2e4342972c,whatsapp,primary_dataset,whatsapp,"It's crazy, after the update, whatsapp data is so big..dispensing memory, 6GB data whatsapp doong..",2021-07-30T03:31:34Z,1,en,1
49be2d8e-19d5-4c16-b007-8cf975a91a6e,whatsapp,primary_dataset,whatsapp,"I'm sorry I couldn't download or send the media when the memory isn't full and the network is good, so please make it difficult for me to accept or send the media. I love you.",2021-07-30T01:38:48Z,0,en,1
029c8b77-f88e-43b9-8505-87bb69a001c6,whatsapp,primary_dataset,whatsapp,"Why did my new WA group use the notification package? Must use WFI ""Please fix it again.""",2021-07-29T23:20:47Z,1,en,1
640793f2-4029-4882-b8ad-2ba1a5b46974,whatsapp,primary_dataset,whatsapp,Why can't you just send me a jrngn bgs and a lot of data dsr plug,2021-07-29T20:17:51Z,0,en,1
8eacd209-7930-49c5-aa6a-b5b6ffc9875a,whatsapp,primary_dataset,whatsapp,"Updated can't even delete messages for everyone, this feature can only be used in less than an hour, please change these terms without any time limit, because it's important to protect personal data",2021-07-29T19:57:13Z,0,en,1
eb505fd8-189d-40b0-874f-478eb0719305,whatsapp,primary_dataset,whatsapp,"Donk advice, please read admin. To the user WA but to use a card number which is not active right away to change the number, afraid to change my WA. The number I wear is off, and there are people who use the same number as my WA. Admin to fix a problem like this, add a gooale account link so that things don't happen that bad things don't happen that way, don't have privacy for others to be able to hack/take account of the same number.",2021-07-29T19:27:14Z,0,en,1
369a8786-2895-4557-bfce-6e2aa7c293aa,whatsapp,primary_dataset,whatsapp,Why is there such a thing as expired? It's hard to make a full list of all the things I've deleted.,2021-07-29T14:45:47Z,0,en,1
d8f76c60-3c97-411a-a55d-94e9c95ef4f2,whatsapp,primary_dataset,whatsapp,Create privacy profile like privacy status dong,2021-07-29T12:40:18Z,0,en,1
9c78e141-7de9-428f-bfa6-23a3a28b80b4,whatsapp,primary_dataset,whatsapp,"suddenly ate a lot of memory, even after the data was deleted",2021-07-29T12:24:23Z,3,en,1
885ef7e4-0db6-49d7-91d6-9378b12e729d,whatsapp,primary_dataset,whatsapp,Why can't you download the picture and see the status? ...during all this work I can't send data ...please fix it.,2021-07-29T12:22:19Z,0,en,1
502c5f19-b164-4682-8f15-8d0f2a9ffb66,whatsapp,primary_dataset,whatsapp,"Since WhatsApp switched hands to facebook, the application's starting to drop. Sometimes ForceClose has bugs. So make Facebook here.",2021-07-29T09:39:43Z,0,en,1
ba4a5cae-0c1b-4fdc-917d-af5f98dfa79a,whatsapp,primary_dataset,whatsapp,Please file it downstairs. Don't go upstairs. It's dangerous to keep personal data there.,2021-07-28T23:36:30Z,0,en,1
6e83bb47-ffd0-4885-aab8-1b986cfd3512,whatsapp,primary_dataset,whatsapp,Woe ruma who has watshap where sharelock w.a cave errr blue douuuuuuuuu help me find woe woe.,2021-07-28T23:26:55Z,0,en,1
8d77c8a9-1202-4135-9c39-dc542e16737a,whatsapp,primary_dataset,whatsapp,Please make wa mod block just his account disturbs privacy thanks,2021-07-28T16:26:40Z,0,en,1
1ea3ecbf-f1dd-456d-a9ff-e9062e973bc2,whatsapp,primary_dataset,whatsapp,"It's so bad, I want it so much that I can wipe out my dn downlod again, I don't think cave data networks, I'm getting worse, I'm going to get worse, I'm going to have to do it for a while, and then I'm going to get rid of my ass again, and I'm going to fix what's up, and I'm going to speed it up, and I'm going to move it around.",2021-07-28T12:53:54Z,2,en,1
fdd3ad58-8341-4091-a122-928181fc29f3,whatsapp,primary_dataset,whatsapp,This application is good but when I share status in applications such as Vidio and photos the results become blurry even though before uploading the videos and photos are not blurry.,2021-07-28T11:42:11Z,0,en,1
f854dfbd-a0d8-477a-a7fa-82a8ae9b9932,whatsapp,primary_dataset,whatsapp,Why can't you download a file while it's still full memory? Please help the whatssaap to update the problem.,2021-07-28T09:23:46Z,1,en,1
c52596dc-268d-4bb6-a56f-9d0896138a84,whatsapp,primary_dataset,whatsapp,This is why the status of not coming in while not being in the privacy of loo please fix it again.,2021-07-27T19:42:24Z,0,en,1
16bbce01-899f-4abf-a08c-1c4036233332,whatsapp,primary_dataset,whatsapp,Apdatan bru ora can donlod vidip chrome send gmbar,2021-07-27T17:33:19Z,0,en,1
bd769b65-e604-421f-a79c-b8aa6538c49c,whatsapp,primary_dataset,whatsapp,The application sucks to arrive The number blocked WhatsApp already 3 times changed contact number is missing important data is missing,2021-07-27T16:29:27Z,0,en,1
e1cbd21f-c80c-469c-b08d-198d4ed58906,whatsapp,primary_dataset,whatsapp,"A little advice for the next update would be better to provide chat-delete features for the group at the same time not necessarily one-on-one, make a separation between personal and group messages, for the archive should be kept hidden as long as it dislikes for what we file a message regarding privacy if the archive is displayed clearly",2021-07-27T15:08:14Z,2,en,1
c84410a4-8dc3-414e-bfdd-3c6a26ad8d78,whatsapp,primary_dataset,whatsapp,"There are often bugs going back to the start of the application, so numbers and whatsapp data are missing, and it says that the number has been blocked, please fix this bug yes:)",2021-07-27T14:29:38Z,0,en,1
d4588724-2656-42bf-8251-9e5ec27e8cb6,whatsapp,primary_dataset,whatsapp,"It's not worth it, try not to use data. It's useful.",2021-07-27T13:38:26Z,0,en,1
eea998e9-9636-4d6d-a0a0-70df6bebb97c,whatsapp,primary_dataset,whatsapp,Why can't you open a photo or share a photo in the wa,2021-07-27T08:35:30Z,0,en,1
4b43aa3a-0022-4a97-950b-3d00776b71e3,whatsapp,primary_dataset,whatsapp,Why can't I download a video of vidio voice note when I already have the data package wifi,2021-07-27T08:24:08Z,1,en,1
bfaec70a-b172-493c-8d1d-f5816293ff0b,whatsapp,primary_dataset,whatsapp,"The app is clear, the press is sending, see if there's any story, and there's still a lot of data...",2021-07-27T06:24:33Z,0,en,1
9cd3aa76-b88f-4a64-bc93-c63aae219c43,whatsapp,primary_dataset,whatsapp,WhatsApp photos and videos disappeared from the gallery after this update Back up and the data base WA also didn't update,2021-07-27T06:07:00Z,0,en,1
c9602224-e91b-4411-99f7-1be1a660c25c,whatsapp,primary_dataset,whatsapp,Please don't do this. The file won't show up to the notif. So I don't know if there's a message coming.,2021-07-26T20:59:52Z,1,en,1
9f3a5c18-f8d8-4330-8c7c-153149c8c6e9,whatsapp,primary_dataset,whatsapp,"After the update, I couldn't download anything; I couldn't send photos, videos, etc. I moved it from the wa business so I couldn't even delete the data.",2021-07-26T18:17:40Z,162,en,1
d4c1c666-3311-4d31-b2d3-e326008e9337,whatsapp,primary_dataset,whatsapp,May the fb company be wise in making privacy plates.,2021-07-26T15:25:32Z,0,en,1
d1274181-779a-47c3-a7cf-e3ab1906aba2,whatsapp,primary_dataset,whatsapp,"After the update, the data was moved to a place hard to find",2021-07-26T11:34:30Z,0,en,1
f27759e2-7fe5-4758-a70d-42e955995443,whatsapp,primary_dataset,whatsapp,Why is Adh's terrible app not coming in... full data pdhal...,2021-07-26T10:18:57Z,0,en,1
de78d05b-fe62-473f-91c2-fd41c20710a7,whatsapp,primary_dataset,whatsapp,"After the update, I saw the bad guy's stts. It's not like he's up and running Internet data.",2021-07-26T09:57:29Z,0,en,1
b2ecf318-dc8c-4f87-8058-a442eec38888,whatsapp,primary_dataset,whatsapp,"This altitude is upsetting, for a day can't see photos and videos and send data files when there's still a lot of data and wifi and it's already on its way and it's really disappointing.",2021-07-26T09:30:07Z,2,en,1
3874c21e-7bdc-487e-8e09-6fa1bd8fd4cc,whatsapp,primary_dataset,whatsapp,Unprofessional in maintaining data,2021-07-26T08:40:36Z,0,en,1
a1f2abf7-2220-493a-9583-bdbb317a73d6,whatsapp,primary_dataset,whatsapp,"Open sosmed, facebook, youtube smooth, open WA hard, not sent, there is a notice ""you may have received a new message""!!! MAMPUS GW LOVE 1:1",2021-07-26T07:33:43Z,1,en,1
7b9de3ed-7776-4eb8-be0d-1c50c3053fdd,whatsapp,primary_dataset,whatsapp,"Keep going, keep going but still keep bagging, let's keep audio video status late, even cut the video in the middle of the audio!!!! just keep bagging, update often but still don't share offten, make audio video status always late, even cut the video in the middle of the audio in front!",2021-07-25T23:30:09Z,0,en,1
4bda8b5b-bea7-4018-bdc6-101d9fdd454d,whatsapp,primary_dataset,whatsapp,"Why can't I download photos, send photos, and status. With cell phones being researched, delete data, sd, sdl automatically,and then unplug the install again and again so what should I do?",2021-07-25T21:50:26Z,0,en,1
1d7913df-46ce-4914-8690-dd9a3f84fe1d,whatsapp,primary_dataset,whatsapp,"Can't open story. Can't open vidio photo. Can't send vidio photo. Good signal, reset phone to factory file 4x.",2021-07-25T18:24:32Z,1,en,1
79e23602-b7c8-4f1f-aa81-21eaea585f26,whatsapp,primary_dataset,whatsapp,The keys arrive at the uninstall themselves. Don't know. Why do you have to do this?,2021-07-25T15:02:34Z,0,en,1
de3d5c86-07d0-4a23-b2f9-3e015943fc8d,whatsapp,primary_dataset,whatsapp,"The old Apk"" doesn't seem clear when the data wants me to back up into the gogle account.",2021-07-25T14:28:50Z,0,en,1
780feb47-0996-40f0-8ed0-28f10e70c9db,whatsapp,primary_dataset,whatsapp,"I can't download or send all the media. (video, photo,audio,sicer,emoji,dll) other than whatsapp. There's no problem with my memory or data, I still have more than 4gb of empty memory and data that can still be used.",2021-07-25T12:36:56Z,137,en,1
2ef181af-d6f7-495e-80a6-3be12071060d,whatsapp,primary_dataset,whatsapp,Whatsapp cave eror uk defoloper gilla fix fast since yesterday's updete all types of files can't be downloaded or uploaded. Since whatsapp joined facebook so much updete an updete is also not much changed,2021-07-25T11:34:23Z,0,en,1
91f46f97-437e-4d74-bc99-9ea428f808a2,whatsapp,primary_dataset,whatsapp,My camera is zooming in after it's been deleted.,2021-07-25T06:57:52Z,0,en,1
d1b83fe1-6033-4db5-9308-e7ec6a582b22,whatsapp,primary_dataset,whatsapp,"It's a little harder now. Oh, my God. It's so much harder now.",2021-07-24T18:12:32Z,0,en,1
bf47c8ea-fc4a-415e-88c8-988ce9b67013,whatsapp,primary_dataset,whatsapp,Crazy Data Storage 1.7 Gb...ends deleting data and updates again... set bgt...,2021-07-24T16:49:33Z,0,en,1
fbcfc8d9-f8cb-432e-ac8b-541c329a76f5,whatsapp,primary_dataset,whatsapp,Does anyone know that I have a link but it's not blue?,2021-07-24T13:59:46Z,0,en,1
